                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0417,                 2.9805,                 1.3503,                0.00714,                0.97577,                0.19852,                0.09636,                 1.0007,                 2.9541,                 1.2169,              5.001e-05,              5.001e-05,              5.001e-05
                      1,                 1.0512,                 2.9867,                 1.3648,                0.00661,                0.98676,                0.34026,                0.23881,                0.58544,                 2.8437,                0.88444,             0.00011553,             0.00011553,             0.00011553
                      2,                0.57989,                 2.4574,                 1.0474,                0.00632,                0.99667,                0.84921,                0.75588,                0.38333,                 2.6656,                0.71169,             0.00017974,             0.00017974,             0.00017974
                      3,                0.45756,                 1.5294,                0.97967,                      1,                0.14885,                0.82514,                0.71766,                0.48394,                 2.4792,                0.75745,             0.00024262,             0.00024262,             0.00024262
                      4,                0.40989,                 1.0172,                0.94277,                      1,                0.06198,                0.78543,                0.69922,                0.61209,                 2.5826,                0.84802,             0.00030419,             0.00030419,             0.00030419
                      5,                0.37802,                0.84882,                0.93208,                      1,                0.45888,                0.85488,                0.74149,                0.66766,                 2.2661,                0.86748,             0.00036443,             0.00036443,             0.00036443
                      6,                0.35426,                0.73117,                0.90731,                0.95027,                0.70122,                0.82452,                0.67204,                0.66629,                 1.6875,                0.91197,             0.00042335,             0.00042335,             0.00042335
                      7,                0.33345,                0.67665,                0.89768,                0.90003,                0.76063,                0.86009,                0.69722,                0.64896,                 1.5983,                0.89326,             0.00048096,             0.00048096,             0.00048096
                      8,                0.33412,                0.64749,                0.89925,                0.90546,                0.84901,                0.88699,                0.74433,                0.63138,                  1.316,                  0.886,             0.00053724,             0.00053724,             0.00053724
                      9,                0.30946,                0.61279,                0.87859,                0.97754,                0.85355,                0.92467,                0.82895,                0.46425,                 1.0248,                  0.773,              0.0005922,              0.0005922,              0.0005922
                     10,                0.29764,                0.59151,                0.88163,                0.97429,                0.85582,                0.93324,                0.84566,                0.46192,                0.92046,                0.77398,             0.00064585,             0.00064585,             0.00064585
                     11,                0.30766,                0.57631,                0.88571,                0.98703,                0.87435,                0.94786,                0.87615,                0.44182,                0.82931,                0.75377,             0.00069817,             0.00069817,             0.00069817
                     12,                0.29644,                0.54836,                0.87889,                0.98553,                0.90469,                0.96446,                0.89216,                0.37967,                0.77487,                0.68706,             0.00074917,             0.00074917,             0.00074917
                     13,                0.29879,                0.53071,                0.88076,                0.97394,                0.93123,                0.97622,                0.90323,                0.40483,                0.80032,                0.71126,             0.00079885,             0.00079885,             0.00079885
